§Sequence§Cluster
0§SEQ_001§1
1§SEQ_002§0
2§SEQ_003§2
3§SEQ_004§0
4§SEQ_005§0
5§SEQ_006§0
6§SEQ_007§1
7§SEQ_008§2
8§SEQ_009§2
9§SEQ_010§1
10§SEQ_011§0
11§SEQ_012§2
12§SEQ_013§0
13§SEQ_014§2
14§SEQ_015§1
15§SEQ_016§0
16§SEQ_017§0
17§SEQ_018§2
18§SEQ_019§0
19§SEQ_020§2
20§SEQ_021§0
21§SEQ_022§1
22§SEQ_023§2
23§SEQ_024§0
24§SEQ_025§2
25§SEQ_026§0
26§SEQ_027§2
27§SEQ_028§1
28§SEQ_029§0
29§SEQ_030§2
30§SEQ_031§1
31§SEQ_032§1
32§SEQ_033§2
33§SEQ_034§1
34§SEQ_035§0
35§SEQ_036§1
36§SEQ_037§2
37§SEQ_038§0
38§SEQ_039§1
39§SEQ_040§1
40§SEQ_041§0
41§SEQ_042§0
42§SEQ_043§0
43§SEQ_044§2
44§SEQ_045§0
45§SEQ_046§0
46§SEQ_047§0
47§SEQ_048§2
48§SEQ_049§0
49§SEQ_050§0
50§SEQ_051§2
51§SEQ_052§1
52§SEQ_053§2
53§SEQ_054§0
54§SEQ_055§2
55§SEQ_056§1
56§SEQ_057§0
57§SEQ_058§2
58§SEQ_059§0
59§SEQ_060§0
60§SEQ_061§2
61§SEQ_062§0
62§SEQ_063§2
63§SEQ_064§1
64§SEQ_065§2
65§SEQ_066§1
66§SEQ_067§2
67§SEQ_068§2
68§SEQ_069§1
69§SEQ_070§0
70§SEQ_071§0
71§SEQ_072§0
72§SEQ_073§0
73§SEQ_074§0
74§SEQ_075§1
75§SEQ_076§1
76§SEQ_077§2
77§SEQ_078§2
78§SEQ_079§0
79§SEQ_080§2
80§SEQ_081§2
81§SEQ_082§0
82§SEQ_083§1
83§SEQ_084§2
84§SEQ_085§2
85§SEQ_086§0
86§SEQ_087§2
87§SEQ_088§0
88§SEQ_089§0
89§SEQ_090§0
90§SEQ_091§1
91§SEQ_092§2
92§SEQ_093§0
93§SEQ_094§2
94§SEQ_095§1
95§SEQ_096§0
96§SEQ_097§0
97§SEQ_098§0
98§SEQ_099§2
99§SEQ_100§0
100§SEQ_101§1
101§SEQ_102§0
102§SEQ_103§0
103§SEQ_104§0
104§SEQ_105§1
105§SEQ_106§1
106§SEQ_107§1
107§SEQ_108§1
108§SEQ_109§0
109§SEQ_110§2
110§SEQ_111§1
111§SEQ_112§0
112§SEQ_113§2
113§SEQ_114§0
114§SEQ_115§0
115§SEQ_116§2
116§SEQ_117§1
117§SEQ_118§2
118§SEQ_119§1
119§SEQ_120§0
120§SEQ_121§0
121§SEQ_122§2
122§SEQ_123§1
123§SEQ_124§2
124§SEQ_125§0
125§SEQ_126§0
126§SEQ_127§1
127§SEQ_128§2
128§SEQ_129§1
129§SEQ_130§0
130§SEQ_131§2
131§SEQ_132§1
132§SEQ_133§0
133§SEQ_134§0
134§SEQ_135§1
135§SEQ_136§2
136§SEQ_137§2
137§SEQ_138§0
138§SEQ_139§0
139§SEQ_140§2
140§SEQ_141§1
141§SEQ_142§0
142§SEQ_143§0
143§SEQ_144§0
144§SEQ_145§2
145§SEQ_146§0
146§SEQ_147§2
147§SEQ_148§0
148§SEQ_149§0
149§SEQ_150§2
150§SEQ_151§2
151§SEQ_152§0
152§SEQ_153§0
153§SEQ_154§2
154§SEQ_155§0
155§SEQ_156§0
156§SEQ_157§2
157§SEQ_158§0
158§SEQ_159§2
159§SEQ_160§0
160§SEQ_161§0
161§SEQ_162§0
162§SEQ_163§1
163§SEQ_164§2
164§SEQ_165§0
165§SEQ_166§1
166§SEQ_167§1
167§SEQ_168§2
168§SEQ_169§2
169§SEQ_170§2
170§SEQ_171§2
171§SEQ_172§2
172§SEQ_173§0
173§SEQ_174§2
174§SEQ_175§2
175§SEQ_176§0
176§SEQ_177§1
177§SEQ_178§0
178§SEQ_179§0
179§SEQ_180§2
180§SEQ_181§0
181§SEQ_182§1
182§SEQ_183§0
183§SEQ_184§1
184§SEQ_185§2
185§SEQ_186§2
186§SEQ_187§2
187§SEQ_188§0
188§SEQ_189§2
189§SEQ_190§2
190§SEQ_191§2
191§SEQ_192§0
192§SEQ_193§1
193§SEQ_194§0
194§SEQ_195§2
195§SEQ_196§2
196§SEQ_197§2
197§SEQ_198§2
198§SEQ_199§0
199§SEQ_200§2
200§SEQ_201§2
201§SEQ_202§2
202§SEQ_203§0
203§SEQ_204§1
204§SEQ_205§1
205§SEQ_206§2
206§SEQ_207§1
207§SEQ_208§2
208§SEQ_209§0
209§SEQ_210§0
210§SEQ_211§0
211§SEQ_212§2
212§SEQ_213§2
213§SEQ_214§0
214§SEQ_215§0
215§SEQ_216§1
216§SEQ_217§0
217§SEQ_218§0
218§SEQ_219§0
219§SEQ_220§2
220§SEQ_221§0
221§SEQ_222§0
222§SEQ_223§1
223§SEQ_224§2
224§SEQ_225§2
225§SEQ_226§1
226§SEQ_227§0
227§SEQ_228§2
228§SEQ_229§0
229§SEQ_230§2
230§SEQ_231§2
231§SEQ_232§2
232§SEQ_233§0
233§SEQ_234§0
234§SEQ_235§0
235§SEQ_236§2
236§SEQ_237§2
237§SEQ_238§0
238§SEQ_239§0
239§SEQ_240§0
240§SEQ_241§0
241§SEQ_242§0
242§SEQ_243§1
243§SEQ_244§0
244§SEQ_245§0
245§SEQ_246§0
246§SEQ_247§2
247§SEQ_248§0
248§SEQ_249§1
249§SEQ_250§0
250§SEQ_251§0
251§SEQ_252§1
252§SEQ_253§0
253§SEQ_254§2
254§SEQ_255§0
255§SEQ_256§2
256§SEQ_257§2
257§SEQ_258§2
258§SEQ_259§0
259§SEQ_260§0
260§SEQ_261§2
261§SEQ_262§2
262§SEQ_263§0
263§SEQ_264§1
264§SEQ_265§0
265§SEQ_266§2
266§SEQ_267§2
267§SEQ_268§0
268§SEQ_269§2
269§SEQ_270§0
270§SEQ_271§0
271§SEQ_272§2
272§SEQ_273§0
273§SEQ_274§2
274§SEQ_275§0
275§SEQ_276§2
276§SEQ_277§0
277§SEQ_278§2
278§SEQ_279§1
279§SEQ_280§2
280§SEQ_281§2
281§SEQ_282§1
282§SEQ_283§1
283§SEQ_284§2
284§SEQ_285§2
285§SEQ_286§1
286§SEQ_287§0
287§SEQ_288§2
288§SEQ_289§0
289§SEQ_290§2
290§SEQ_291§2
291§SEQ_292§2
292§SEQ_293§1
293§SEQ_294§2
294§SEQ_295§0
295§SEQ_296§0
296§SEQ_297§0
297§SEQ_298§2
298§SEQ_299§0
299§SEQ_300§2
300§SEQ_301§0
301§SEQ_302§0
302§SEQ_303§0
303§SEQ_304§1
304§SEQ_305§2
305§SEQ_306§2
306§SEQ_307§2
307§SEQ_308§1
