§Sequence§Cluster
0§SEQ_001§1
1§SEQ_002§1
2§SEQ_003§0
3§SEQ_004§0
4§SEQ_005§1
5§SEQ_006§1
6§SEQ_007§1
7§SEQ_008§1
8§SEQ_009§1
9§SEQ_010§0
10§SEQ_011§1
11§SEQ_012§1
12§SEQ_013§1
13§SEQ_014§1
14§SEQ_015§1
15§SEQ_016§1
16§SEQ_017§1
17§SEQ_018§1
18§SEQ_019§1
19§SEQ_020§1
20§SEQ_021§1
21§SEQ_022§1
22§SEQ_023§0
23§SEQ_024§1
24§SEQ_025§1
25§SEQ_026§1
26§SEQ_027§0
27§SEQ_028§0
28§SEQ_029§1
29§SEQ_030§1
30§SEQ_031§1
31§SEQ_032§1
32§SEQ_033§1
33§SEQ_034§1
34§SEQ_035§1
35§SEQ_036§1
36§SEQ_037§0
37§SEQ_038§1
38§SEQ_039§1
39§SEQ_040§0
40§SEQ_041§1
41§SEQ_042§1
42§SEQ_043§1
43§SEQ_044§1
44§SEQ_045§1
45§SEQ_046§1
46§SEQ_047§1
47§SEQ_048§1
48§SEQ_049§1
49§SEQ_050§1
50§SEQ_051§1
51§SEQ_052§0
52§SEQ_053§0
53§SEQ_054§1
54§SEQ_055§1
55§SEQ_056§0
56§SEQ_057§1
57§SEQ_058§1
58§SEQ_059§0
59§SEQ_060§1
60§SEQ_061§0
61§SEQ_062§1
62§SEQ_063§1
63§SEQ_064§1
64§SEQ_065§0
65§SEQ_066§0
66§SEQ_067§1
67§SEQ_068§0
68§SEQ_069§0
69§SEQ_070§1
70§SEQ_071§1
71§SEQ_072§0
72§SEQ_073§1
73§SEQ_074§1
74§SEQ_075§0
75§SEQ_076§1
76§SEQ_077§0
77§SEQ_078§0
78§SEQ_079§0
79§SEQ_080§0
80§SEQ_081§1
81§SEQ_082§1
82§SEQ_083§1
83§SEQ_084§1
84§SEQ_085§0
85§SEQ_086§0
86§SEQ_087§0
87§SEQ_088§0
88§SEQ_089§0
89§SEQ_090§1
90§SEQ_091§1
91§SEQ_092§1
92§SEQ_093§1
93§SEQ_094§1
94§SEQ_095§0
95§SEQ_096§1
96§SEQ_097§1
97§SEQ_098§0
98§SEQ_099§0
99§SEQ_100§1
100§SEQ_101§1
101§SEQ_102§1
102§SEQ_103§1
103§SEQ_104§0
104§SEQ_105§1
105§SEQ_106§1
106§SEQ_107§1
107§SEQ_108§1
108§SEQ_109§1
109§SEQ_110§1
110§SEQ_111§1
111§SEQ_112§1
112§SEQ_113§1
113§SEQ_114§0
114§SEQ_115§0
115§SEQ_116§1
116§SEQ_117§0
117§SEQ_118§1
118§SEQ_119§0
119§SEQ_120§0
120§SEQ_121§1
121§SEQ_122§1
122§SEQ_123§1
123§SEQ_124§1
124§SEQ_125§1
125§SEQ_126§1
126§SEQ_127§0
127§SEQ_128§0
128§SEQ_129§1
129§SEQ_130§0
130§SEQ_131§1
131§SEQ_132§0
132§SEQ_133§0
133§SEQ_134§1
134§SEQ_135§1
135§SEQ_136§1
136§SEQ_137§0
137§SEQ_138§1
138§SEQ_139§0
139§SEQ_140§1
140§SEQ_141§1
141§SEQ_142§1
142§SEQ_143§1
143§SEQ_144§1
144§SEQ_145§1
145§SEQ_146§1
146§SEQ_147§0
147§SEQ_148§1
148§SEQ_149§1
149§SEQ_150§1
150§SEQ_151§0
151§SEQ_152§0
152§SEQ_153§0
153§SEQ_154§0
154§SEQ_155§1
155§SEQ_156§1
156§SEQ_157§1
157§SEQ_158§0
158§SEQ_159§1
159§SEQ_160§0
160§SEQ_161§1
161§SEQ_162§0
162§SEQ_163§0
163§SEQ_164§1
164§SEQ_165§0
165§SEQ_166§1
166§SEQ_167§0
167§SEQ_168§1
168§SEQ_169§1
169§SEQ_170§1
170§SEQ_171§0
171§SEQ_172§0
172§SEQ_173§1
173§SEQ_174§0
174§SEQ_175§1
