Sequence§Taux de parole
SEQ_001§0.17200199037983083
SEQ_002§0.3512216404886562
SEQ_003§0.43942992874109266
SEQ_004§0.4868913857677903
SEQ_005§0.4070529627687467
SEQ_006§0.15534804753820033
SEQ_007§0.17305345374664388
SEQ_008§0.28098391674550616
SEQ_009§0.4079800498753117
SEQ_010§0.33509277031349965
SEQ_011§0.2896743735625227
SEQ_012§0.22704225352112675
SEQ_013§0.3936669272869429
SEQ_014§0.3640836408364084
SEQ_015§0.30773236136422805
SEQ_016§0.3241477272727273
SEQ_017§0.2666940198994769
SEQ_018§0.23721067374318147
SEQ_019§0.33237291623790904
SEQ_020§0.42862523540489644
SEQ_021§0.14534351145038168
SEQ_022§0.44099240053643274
SEQ_023§0.45843099407141874
SEQ_024§0.24657924743443557
SEQ_025§0.5039325842696629
SEQ_026§0.24767154533358676
SEQ_027§0.43133333333333335
SEQ_028§0.37484433374844334
SEQ_029§0.29035442788034355
SEQ_030§0.3013322884012539
SEQ_031§0.4310659898477157
SEQ_032§0.37990954534634613
SEQ_033§0.36026845637583893
SEQ_034§0.4079213645562301
SEQ_035§0.4993927617196988
SEQ_036§0.33031088082901555
SEQ_037§0.33294094565430643
SEQ_038§0.217169373549884
SEQ_039§0.4256535947712418
SEQ_040§0.4078895463510848
SEQ_041§0.3167059677126791
SEQ_042§0.3721055465805062
SEQ_043§0.250970066518847
SEQ_044§0.2353783719264741
SEQ_045§0.3405349794238683
SEQ_046§0.5724734042553191
SEQ_047§0.20383752803388985
SEQ_048§0.15711543734576364
SEQ_049§0.2541709577754892
SEQ_050§0.3609634031904911
SEQ_051§0.48577494692144374
SEQ_052§0.3761290322580645
SEQ_053§0.1960958296362023
SEQ_054§0.31797235023041476
SEQ_055§0.4915254237288136
SEQ_056§0.47376603186941313
SEQ_057§0.16085526315789472
SEQ_058§0.389613309352518
SEQ_059§0.3617942768754834
SEQ_060§0.27411282984531393
SEQ_061§0.4242675511332228
SEQ_062§0.41049336711879564
SEQ_063§0.20176589905739173
SEQ_064§0.3294751009421265
SEQ_065§0.6079842931937173
SEQ_066§0.34202453987730064
SEQ_067§0.2505527915975677
SEQ_068§0.37629697947890245
SEQ_069§0.3845693779904306
SEQ_070§0.37841530054644806
SEQ_071§0.2455022488755622
SEQ_072§0.6510538641686182
SEQ_073§0.36954397394136806
SEQ_074§0.24951503394762367
SEQ_075§0.5399515738498789
SEQ_076§0.32062007874015747
SEQ_077§0.4856058915420665
SEQ_078§0.36940619621342513
SEQ_079§0.4659666908037654
SEQ_080§0.35071942446043164
SEQ_081§0.18880304794158112
SEQ_082§0.16947447824993714
SEQ_083§0.29015007762635847
SEQ_084§0.3990909090909091
SEQ_085§0.5252234993614304
SEQ_086§0.4316173376350119
SEQ_087§0.7209897610921502
SEQ_088§0.2787799278451951
