Sequence§nmf_0§nmf_1§nmf_2§nmf_3§nmf_4
SEQ_001§0.0§0.0§0.269098627541849§0.0§0.0
SEQ_002§0.07541815735410248§0.014496767331831452§0.1525506944301422§0.0§0.0
SEQ_003§0.0§0.3420720822399294§0.0005194871392564089§0.04105571666739691§0.0
SEQ_004§0.013286532094326103§0.17434903366827925§0.0010916168444621173§0.04030925720302785§0.0009564252632380932
SEQ_005§0.0§0.006112026978827103§0.08341389790097285§0.30187817023200825§0.0
SEQ_006§0.02613308687807668§0.0036076929980478584§0.11472780056125284§0.014263065006792242§0.0
SEQ_007§0.053311477313279676§0.0§0.06680996012586529§0.09309598752236808§0.0
SEQ_008§0.021700161791104407§0.01092151564771467§0.2202559361323447§0.0§0.021351038382037914
SEQ_009§0.0§0.0§0.2455415936495548§0.0§0.0
SEQ_010§0.0§0.09874777301708691§0.11684354210759822§0.0§0.10938584550728976
SEQ_011§0.26180142238083703§0.0§0.0§0.021527827138629482§0.12429622350640503
SEQ_012§0.0§0.0§0.303760624445831§0.0§0.0
SEQ_013§0.0319646591920243§0.0§0.19474300036769687§0.13296559659506252§0.07759243189739974
SEQ_014§0.0§0.0§0.06125875555866665§0.2142568305890363§0.0
SEQ_015§0.06349845723595378§0.013697720829916544§0.10845856799485232§0.0§0.06483142319630904
SEQ_016§0.06758765302801012§0.0§0.10842269771407588§0.0727429783771139§0.0329356232227391
SEQ_017§0.0474724580023955§0.025480082142856672§0.18805975594375§0.011884512333300425§0.08634757551751011
SEQ_018§0.14934648284817756§0.07755769000284674§0.05025747968427087§0.0§0.03850957108107309
SEQ_019§0.0§0.0§0.23806096493497012§0.0§0.0
SEQ_020§0.05587091857888036§0.0§0.036788084716622774§0.3107475760189266§0.035678413234352994
SEQ_021§0.0§0.03752616207555083§0.12127192144939275§0.0§0.00502343876069549
SEQ_022§0.0§0.005820940265189304§0.24696930315246424§0.040129997411804424§0.11619084058333615
SEQ_023§0.0§0.06773297343678866§0.05358847446754857§0.10978157860478006§0.041105651601997355
SEQ_024§0.19713766744793568§0.0§0.0§0.0§0.051265018565550234
SEQ_025§0.0§0.0§0.049578762570689945§0.344285494760967§0.019726899869423557
SEQ_026§0.07183923162008198§0.0§0.2442864010054513§0.049178669240265586§0.05645920960826985
SEQ_027§0.007036492066135965§0.07821440111921034§0.0§0.009516315719129856§0.17712351679985733
SEQ_028§0.042114703569200634§0.025261778849935475§0.00794815139453803§0.10492333111201826§0.0
SEQ_029§0.015256856254518754§0.06003232478223291§0.22417855547839557§0.007128169122976625§0.04485024696680133
SEQ_030§0.0§0.011901530166992068§0.13042059792871136§0.0§0.08620349398328866
SEQ_031§0.11158180204317483§0.0§0.0§0.08562039306880019§0.12247186311178108
SEQ_032§0.04886359581013275§0.0§0.04467034653021902§0.07370582737563341§0.1997736200202135
SEQ_033§0.02104867395298623§0.0§0.1305458788463133§0.0§0.1272633154153869
SEQ_034§0.0§0.04436200773421961§0.1728497900841107§0.1120233246290203§0.0
