Sequence§Svd_0§Svd_1§Svd_2§Svd_3§Svd_4
SEQ_001§0.24846178919194029§0.2550876246390757§-0.1598488456172639§-0.0766450872492914§-0.06740587430059487
SEQ_002§0.24258361309041537§0.1264655673009717§-0.017189824539180998§-0.14879177304307695§-0.13440742799547062
SEQ_003§0.18017778472153§-0.21785251975605505§-0.21368919932865793§-0.08542350822587592§-0.03867956447317777
SEQ_004§0.14174965008655793§-0.15904466190060698§-0.10842908218770836§-0.1014254670748403§-0.07159364251293444
SEQ_005§0.37187985726306433§-0.013741099985304348§-0.1072101452865751§0.13413892346715184§-0.19186718987831133
SEQ_006§0.1522590870294884§0.10802085721544916§-0.03806517004201382§-0.0574977451393222§-0.08223207712283388
SEQ_007§0.21646227959855105§0.06977046960440744§0.010913335173216838§-0.03844551063310487§-0.1276411479979581
SEQ_008§0.2812159542535979§0.17699477026803406§-0.09014109342831521§-0.07697287015061907§-0.058829830527692556
SEQ_009§0.2030875671601843§0.24692627647956472§-0.21063849741861554§-0.010443759449368293§0.014707012708439932
SEQ_010§0.2699603146863974§-0.02195363535817331§-0.1251862138434853§-0.1343530349263517§0.01797475946809607
SEQ_011§0.41451015964383686§-0.03855390988753629§0.34286083529514993§0.0013016320265209584§0.05153799493369121
SEQ_012§0.2206438078015941§0.32943462872591156§-0.24129854671457793§-0.1262170800924845§0.011186578239057618
SEQ_013§0.4507358702832805§0.15435459148445196§-0.04944888027348879§0.05992519296588493§0.025257002857069787
SEQ_014§0.26389884734175467§0.01865038296822409§-0.08583267415906738§0.14233153180338368§-0.0799549625632157
SEQ_015§0.259571077091789§0.05947040415420403§0.011661429861766718§-0.09502871008563668§-0.02283624247400622
SEQ_016§0.2981931370392173§0.10922601307700504§0.03617895477231747§-0.011289739614054758§-0.016906933052357496
SEQ_017§0.3609346271468217§0.1414429574153187§-0.054644376243741674§-0.04276894589046004§0.09196477427792202
SEQ_018§0.29102077962417144§-0.01135251028728323§0.0717670902570205§-0.19515652325695212§-0.03807605856617418
SEQ_019§0.1925294222092462§0.23536518088932704§-0.19449886355989218§-0.10377140997587299§-0.028343448924303894
SEQ_020§0.4466303247065437§-0.021945315698615145§0.02398291366665132§0.16119704005701413§-0.06854568590977671
SEQ_021§0.1083637135462043§0.09392051521264691§-0.1572641364292603§-0.07652493507988795§0.08322243611052176
SEQ_022§0.41066306430997634§0.15472328625173298§-0.14935118752713358§-0.02961881202209136§0.1081239961157486
