Sequence§nmf_0§nmf_1
SEQ_001§0.13239089634764045§0.0
SEQ_002§0.12462160673690105§0.0
SEQ_003§0.001964787760909819§0.23801374627155636
SEQ_004§0.0§0.19495804695181831
SEQ_005§0.1291239299744454§0.13563668526416478
SEQ_006§0.07855477576989282§0.0
SEQ_007§0.11006624864674432§0.0
SEQ_008§0.1445735067842615§0.0
SEQ_009§0.11148805039083154§0.0
SEQ_010§0.07750168517756913§0.1388463912096797
SEQ_011§0.21045520683561542§0.0
SEQ_012§0.12297601924593202§0.0
SEQ_013§0.22680109298651127§0.0
SEQ_014§0.10497197618795923§0.06410332852263928
SEQ_015§0.12119359015179762§0.02238325233768159
SEQ_016§0.1536338631053739§0.0
SEQ_017§0.1836978480446605§0.0
SEQ_018§0.12453757413896417§0.054907074274754324
SEQ_019§0.10117386264174526§0.0
SEQ_020§0.1892417579655435§0.0825761814244456
SEQ_021§0.05182706988595651§0.009999050097791088
SEQ_022§0.19144210856277044§0.03562780816100404
SEQ_023§0.05696510789487369§0.14916334216825747
SEQ_024§0.13075199043636604§0.0
SEQ_025§0.1674933205719888§0.07717427708179557
SEQ_026§0.23077516450069435§0.0
SEQ_027§0.03814205535271564§0.1775828957999862
SEQ_028§0.061397794569034894§0.050918470779880286
SEQ_029§0.15136609505168344§0.038682417887494595
SEQ_030§0.10986254771667565§0.0046745585136237664
SEQ_031§0.14462892307200148§0.04501129297537365
SEQ_032§0.1774508042044496§0.023092053226696985
SEQ_033§0.135830169401404§0.0
SEQ_034§0.11900034050573252§0.07083054522696705
SEQ_035§0.17308676928823577§0.023972815790325765
SEQ_036§0.10435773126907057§0.049334737841527615
SEQ_037§0.085869504731998§0.12911576157946106
SEQ_038§0.1382948051848026§0.013892891365884168
SEQ_039§0.1396847962853883§0.04404582647398142
SEQ_040§0.060020082624522575§0.139897489634728
SEQ_041§0.17717792289473425§0.04578355784504568
SEQ_042§0.1941571970668057§0.0
SEQ_043§0.155542197137941§0.03355060970974289
SEQ_044§0.15739793980318076§0.0
SEQ_045§0.09561119453909442§0.10215155414511418
SEQ_046§0.0869431459293706§0.0
SEQ_047§0.11103709442917027§0.019327471194022505
SEQ_048§0.1271821381372189§0.0
SEQ_049§0.10058007253481772§0.03406375705116564
SEQ_050§0.09627595215756622§0.010017861890883816
SEQ_051§0.11436617516547423§0.013242965892780997
SEQ_052§0.07913976021603032§0.07017089288125496
SEQ_053§0.07699039133866611§0.04310976650980927
SEQ_054§0.10578139615876023§0.11280163020512984
SEQ_055§0.15921243456102044§0.02414876175286765
SEQ_056§0.050251398389564245§0.005793961715002653
SEQ_057§0.09138010990346027§0.0
SEQ_058§0.1098662546203424§0.0
SEQ_059§0.09450042236863744§0.1071970681129177
SEQ_060§0.15270132887613264§0.0
SEQ_061§0.06589750953183052§0.10359052205142619
SEQ_062§0.1473005009262688§0.036686157796193025
SEQ_063§0.21058604837675923§0.018906106758539702
SEQ_064§0.08774509585187062§0.0629616910103369
SEQ_065§0.004261585026409238§0.13378488456683826
SEQ_066§0.0§0.2049150655992169
SEQ_067§0.1690782361703506§0.019584136771691654
SEQ_068§0.02875415421794889§0.2764522135868254
SEQ_069§0.0§0.2987936156795501
SEQ_070§0.10532334755793155§0.04386520962684918
SEQ_071§0.13760301259947674§0.027274464903180768
SEQ_072§0.0656297809817366§0.11359104568036214
SEQ_073§0.12445612801319798§0.06861060902182706
SEQ_074§0.12622757710249885§0.0
SEQ_075§0.04933314185338168§0.07421985247014967
SEQ_076§0.11586989777123605§0.09189708589452418
SEQ_077§0.015279601874065126§0.2605864973009412
SEQ_078§0.03610674896826168§0.2625141793647803
SEQ_079§0.08442574531030506§0.13776218367680598
SEQ_080§0.038078552960676505§0.022925338861508646
SEQ_081§0.14754493381519523§0.0
SEQ_082§0.13500884711496824§0.020416998084783793
SEQ_083§0.1456636595420192§0.029953821968780603
SEQ_084§0.13404196662509013§0.02494180788436323
SEQ_085§0.04088390585997898§0.1773769357624453
SEQ_086§0.0§0.2486696345177729
SEQ_087§0.035006574418853756§0.13601647291571703
SEQ_088§0.06338703694586115§0.05004551452471871
SEQ_089§0.0§0.17042780050390077
SEQ_090§0.12747793105781194§0.04574830928371026
SEQ_091§0.10921499029397835§0.0
SEQ_092§0.1555787238923154§0.0
SEQ_093§0.13982064260869256§0.017724304143710328
SEQ_094§0.08746335906158885§0.0
SEQ_095§0.008504365872491855§0.19692523066000153
SEQ_096§0.08734836886142285§0.08292083228836498
SEQ_097§0.1511859229102989§0.031046954543052376
SEQ_098§0.04407026200643021§0.12543682811470705
SEQ_099§0.0750967569027341§0.07514362645109333
SEQ_100§0.18435051889604367§0.039699943322855605
SEQ_101§0.12341422378643928§0.02427455830615666
SEQ_102§0.08402299950326068§0.12473705637634491
SEQ_103§0.09036619298351327§0.06480147197816925
SEQ_104§0.07235532390565737§0.036432759450496434
SEQ_105§0.17206143098445795§0.0
SEQ_106§0.0791044253451275§0.0522648285485169
SEQ_107§0.15585735771124443§0.04642693228268485
SEQ_108§0.13667500858899745§0.012321617927362567
SEQ_109§0.11094068844534727§0.07153267951073003
SEQ_110§0.12170670144913688§0.0238129138922493
SEQ_111§0.10391348275658134§0.0619818321181259
SEQ_112§0.1572103500835833§0.0
SEQ_113§0.0736035659421833§0.05835843948922593
SEQ_114§0.0§0.1769526067735829
SEQ_115§0.043933423908647164§0.08917521999801845
SEQ_116§0.11183528689434678§0.13773710543445758
SEQ_117§0.041019717880541§0.07247474986918065
SEQ_118§0.1084070046406293§0.07877584976483276
SEQ_119§0.03446959266593591§0.05613835350925702
SEQ_120§0.03932971420845239§0.20350315642993239
SEQ_121§0.15333113038666274§0.0
SEQ_122§0.16817234781700466§0.016122901448162946
SEQ_123§0.17705288612671294§0.09208400732173556
SEQ_124§0.09631018683359654§0.027259169680918585
SEQ_125§0.1638107460091858§0.0
SEQ_126§0.1304200281540634§0.0
SEQ_127§0.07619760545452688§0.03753236806952055
SEQ_128§0.0§0.12450768729427066
SEQ_129§0.110391518905993§0.03254349350582247
SEQ_130§0.06333930709538038§0.0400263969951091
SEQ_131§0.07581860124943528§0.04808499787507061
SEQ_132§0.0§0.18285947663710592
SEQ_133§0.0§0.11170494122995997
SEQ_134§0.19629076121389924§0.0
SEQ_135§0.12029241930051478§0.0
SEQ_136§0.09846882056585443§0.0
SEQ_137§0.05269447937361364§0.3272219387304091
SEQ_138§0.15107438852903324§0.12946211126814064
SEQ_139§0.03662316833909866§0.03832233211369261
SEQ_140§0.08063317172991874§0.08730836164996827
SEQ_141§0.15655969599624217§0.0
SEQ_142§0.11776155784630114§0.028587066002246676
SEQ_143§0.12117395678153088§0.08886540538813602
SEQ_144§0.11280623066343957§0.02231232984656129
SEQ_145§0.18519287389346392§0.02929159873258321
SEQ_146§0.13232910929144545§0.021106284613666475
SEQ_147§0.02775227329366232§0.14871183816482136
SEQ_148§0.0798114369142693§0.04939095279454975
SEQ_149§0.08814231801868032§0.047267328386049884
SEQ_150§0.15470455138216485§0.021565874441361134
SEQ_151§0.04362224681780408§0.2135288964895609
SEQ_152§0.0§0.08032804062912871
SEQ_153§0.01859027573622574§0.17070666707389093
SEQ_154§0.0§0.11976140090499968
SEQ_155§0.12571202395795464§0.058352969326970504
SEQ_156§0.09021220641809702§0.05210907396414537
SEQ_157§0.2115155275490252§0.0
SEQ_158§0.05311454863222516§0.08973909793875608
SEQ_159§0.19507330494704125§0.010202610645252746
SEQ_160§0.0§0.1538981111471348
SEQ_161§0.18002961922548097§0.0
SEQ_162§0.044680890611655005§0.04002630911048634
SEQ_163§0.06370691579898945§0.15729707456749925
SEQ_164§0.2096133765481012§0.12618558762024565
SEQ_165§0.054832405827362096§0.10875117565000833
SEQ_166§0.13244483927650755§0.11118060490025318
SEQ_167§0.07817925419242473§0.1155936500612211
SEQ_168§0.12796027772125323§0.03228912997517116
SEQ_169§0.10471729079317485§0.0
SEQ_170§0.11101688813845004§0.031859515060793445
SEQ_171§0.023495045386024906§0.10130920967384435
SEQ_172§0.0005615063844940824§0.1799260463876523
SEQ_173§0.11767711583410907§0.0
SEQ_174§0.010145836335949366§0.2379619386135729
SEQ_175§0.08551506131992238§0.052789249408702964
SEQ_176§0.08884238365738585§0.035442882574230464
SEQ_177§0.1139130468705553§0.06858957378420213
SEQ_178§0.10875812029047724§0.0
SEQ_179§0.027902013153610572§0.21069396986138914
SEQ_180§0.1360305386053868§0.0
SEQ_181§0.11537484050322376§0.0006325271971617069
SEQ_182§0.05134367956634211§0.10381638653967513
SEQ_183§0.12700930778192412§0.02888042879621524
SEQ_184§0.030217158232202626§0.2202892433038721
SEQ_185§0.060793483154613255§0.14803562486463426
SEQ_186§0.1544504375423714§0.03128134981311894
SEQ_187§0.10548783897297406§0.0857137015885167
SEQ_188§0.0734621469894113§0.18219120476151693
SEQ_189§0.10592905339883694§0.03483848268214891
SEQ_190§0.07880474531336211§0.06550891746487712
SEQ_191§0.005343819319580535§0.10313553298417837
SEQ_192§0.05402909749469874§0.16686984883947342
SEQ_193§0.06538850798311946§0.0616567482187454
SEQ_194§0.09143957633993878§0.10433566747784147
SEQ_195§0.16717764304907215§0.0049865825821217525
SEQ_196§0.121731106103027§0.06370024393323494
SEQ_197§0.0904858679607177§0.08348480259522381
SEQ_198§0.1382304904896169§0.1054638763971021
SEQ_199§0.08695201649394861§0.13219668059850392
SEQ_200§0.04898313838813222§0.17055824618683202
SEQ_201§0.030661088115776915§0.17352378617337752
SEQ_202§0.0§0.28407667149778815
SEQ_203§0.07560823247007015§0.17143324952663114
SEQ_204§0.10860212972571819§0.0
SEQ_205§0.05640972925014063§0.09565688359813362
SEQ_206§0.15418565499032308§0.0
SEQ_207§0.046248275163243334§0.15979776892070055
SEQ_208§0.08676971832767055§0.13358655088165225
SEQ_209§0.14670192740451876§0.0
SEQ_210§0.037794274743757704§0.1447209261613813
SEQ_211§0.13848483842110204§0.0057989145455329605
SEQ_212§0.11851651556506948§0.0
SEQ_213§0.012516302433600038§0.18816962444283866
SEQ_214§0.06494603181497614§0.0
SEQ_215§0.10112289636323571§0.0
SEQ_216§0.019675143034559334§0.1225415237132207
SEQ_217§0.14052003125597326§0.027721175068844136
SEQ_218§0.0§0.1739093937079948
SEQ_219§0.233010166275141§0.0741747732016722
SEQ_220§0.03279046145222971§0.20651887681774433
SEQ_221§0.13349393368263623§0.10792271341146598
SEQ_222§0.20071433273533604§0.014605968039261785
SEQ_223§0.17243007578153904§0.0
SEQ_224§0.09945423835726178§0.08265003489160547
SEQ_225§0.15113026087287781§0.0
SEQ_226§0.08758216092003593§0.008514958910126089
SEQ_227§0.1458569908483645§0.017032475504067827
SEQ_228§0.1460798632993285§0.0
SEQ_229§0.1117125972811093§0.0
SEQ_230§0.0§0.209072238105879
SEQ_231§0.12028188603717951§0.0
SEQ_232§0.05211160773642189§0.1273728259436102
SEQ_233§0.12331588190087922§0.04531952633348246
SEQ_234§0.11919373409960603§0.0
SEQ_235§0.1188796160883679§0.13215553930175372
SEQ_236§0.08118698765179083§0.05403015165458937
SEQ_237§0.08919665484707104§0.0
SEQ_238§0.11710999877390442§0.010600770409609104
SEQ_239§0.06463015684480151§0.1400740548565525
SEQ_240§0.22300693791524678§0.0
SEQ_241§0.1654749381627833§0.07187931549011313
SEQ_242§0.13768154775355004§0.009067435242355022
SEQ_243§0.010969065274084847§0.18851649430353737
SEQ_244§0.1019867924332246§0.06609852673519641
SEQ_245§0.056752515629175805§0.04415525923270024
SEQ_246§0.08249704761930145§0.01834471429696102
SEQ_247§0.017529645946146245§0.06423951584896367
SEQ_248§0.10936843063403674§0.03863411520973099
SEQ_249§0.1364717751745333§0.0027562871885409208
SEQ_250§0.09612024457606994§0.07756895952476663
SEQ_251§0.10858738344147074§0.0
SEQ_252§0.07519657559400504§0.08371204661460158
SEQ_253§0.1270148947818905§0.025534275786475484
SEQ_254§0.053033242376968256§0.1601686444001423
SEQ_255§0.08665868289872301§0.02887760062047782
SEQ_256§0.017558781074677118§0.1449619951893523
SEQ_257§0.09502022306889474§0.007890628659637052
SEQ_258§0.0§0.27218568989004444
SEQ_259§0.0035287395769700793§0.20193428256007434
SEQ_260§0.049160652204757786§0.13508042857054786
SEQ_261§0.12130535754630004§0.0
SEQ_262§0.11939764853182508§0.03452972636857614
SEQ_263§0.05047108490452331§0.0
SEQ_264§0.06584388321375335§0.043347310145393225
SEQ_265§0.14140205696067876§0.055360716555099033
SEQ_266§0.1932856624822096§0.01475880833513463
SEQ_267§0.0§0.2847646774532355
SEQ_268§0.04564769542510042§0.2079420562183834
SEQ_269§0.09954167609266598§0.0
SEQ_270§0.1346306863072615§0.11855975740693427
SEQ_271§0.13407050890119201§0.07233506606852184
SEQ_272§0.1871661704867049§0.03333588581928694
SEQ_273§0.07588875835992998§0.03311113321224143
SEQ_274§0.08648092310038438§0.1150154973916081
SEQ_275§0.17331530638951564§0.0351209685158173
SEQ_276§0.10834134718553405§0.0
SEQ_277§0.17871333326905006§0.0
SEQ_278§0.18177565615252286§0.0
SEQ_279§0.0§0.33103732914427336
SEQ_280§0.03599507235826409§0.08398873657509186
SEQ_281§0.09917297875205583§0.0
SEQ_282§0.10844139690745651§0.07442648661051755
SEQ_283§0.06382139596427891§0.11552490122192006
SEQ_284§0.03654325098932692§0.1628777846351603
SEQ_285§0.12429999818325034§0.0
SEQ_286§0.0§0.197837654737434
SEQ_287§0.0862576298062248§0.10135212289786559
SEQ_288§0.0§0.19070489852487732
SEQ_289§0.13616559613976434§0.045502027888095355
SEQ_290§0.1766309174973004§0.02976290433833478
SEQ_291§0.0§0.21627357039651157
SEQ_292§0.13862355225794498§0.0
SEQ_293§0.17931157405181192§0.029578306501282577
SEQ_294§0.08661024956071826§0.0
SEQ_295§0.1873581853863731§0.0
SEQ_296§0.00011136683732959301§0.12331985992025933
SEQ_297§0.16932225634030018§0.006003300133265081
SEQ_298§0.09627847422520183§0.0
SEQ_299§0.11406327647878983§0.0
SEQ_300§0.1187363622980911§0.0
SEQ_301§0.11883609316205161§0.0
SEQ_302§0.034799770037222365§0.13035505751136583
SEQ_303§0.019385902462579145§0.23539967951474378
