Sequence§nmf_0§nmf_1§nmf_2§nmf_3§nmf_4
SEQ_001§0.0§0.0§0.26199030173578547§0.0§0.0
SEQ_002§0.06970840586828783§0.0§0.15132144997354086§0.0§0.017607703608645154
SEQ_003§0.0§0.36101077934563736§0.010618187299992489§0.021822507216084988§0.0
SEQ_004§0.0068955153178333175§0.10884970234919047§0.0§0.0§0.12806760231733547
SEQ_005§0.0§0.0§0.11284925841334864§0.07711905107178404§0.23207343547564535
SEQ_006§0.02397002298486349§0.0§0.11670860081260494§0.0§0.009930828417019127
SEQ_007§0.0528022143340049§0.0§0.08723056702001351§0.0229836340714814§0.044950498438002674
SEQ_008§0.020864605822199282§0.004057309502859485§0.21356099980292176§0.01589558646966304§0.014733663834517383
SEQ_009§0.0§0.0§0.24091060058666358§0.0§0.0
SEQ_010§0.003784117187778167§0.08154064862147538§0.11765820977506933§0.04729033544746213§0.06920477629971335
SEQ_011§0.25677816406228987§0.0§0.0§0.15789846873552607§0.0
SEQ_012§0.0§0.0§0.2952872297397795§0.0§0.0
SEQ_013§0.026127826814064985§0.0§0.197169959715502§0.1865245494517443§0.01820470469295858
SEQ_014§0.0§0.0§0.0761443004334661§0.09788859929557994§0.12201241986793229
SEQ_015§0.0723193016929481§0.0035468666295642493§0.1024821542800586§0.035478684724968165§0.03228773704218879
SEQ_016§0.061759949071673904§0.0§0.11308441503924584§0.08945392412935116§0.014231848476862359
SEQ_017§0.052305199095194266§0.035713847827953664§0.1766396213371781§0.09581033329283618§0.0
SEQ_018§0.16467270925694424§0.08389546910315826§0.05146456790867232§0.0§0.008349984440567313
SEQ_019§0.0§0.0§0.23034570872212387§0.0§0.0
SEQ_020§0.0483830129905211§0.003928993369948064§0.058539422033147055§0.22925103603747524§0.11221594477152969
SEQ_021§0.0§0.05294075009017679§0.11468679428041804§0.0§0.0
SEQ_022§0.0§0.003089511173696504§0.23542980279370765§0.1264619103314056§0.03952914486073944
SEQ_023§0.0019366635817751913§0.02708213050638978§0.0551484721838503§0.03644756387952735§0.167916258686199
SEQ_024§0.21066800230169438§0.0§0.0§0.02629778830863314§0.0
SEQ_025§0.0§0.0§0.07142538645764224§0.24183691160388557§0.10955716277579026
SEQ_026§0.06584035065808198§0.0§0.2426941894200932§0.09974802953761788§0.005328505301186105
SEQ_027§0.018503113257971226§0.05264426149575041§0.0§0.09072035448744384§0.1192924825382916
SEQ_028§0.044389746370469114§0.01446918322824637§0.02370353339908158§0.03607221299046812§0.05883198867997997
SEQ_029§0.02304166734084207§0.05314893147901453§0.21905254861667686§0.024379475836881§0.028699520172402272
SEQ_030§0.0§0.023663588877105398§0.12490180447947785§0.08185207917562262§0.0
SEQ_031§0.11738766699757462§0.0§0.0§0.16655789873484747§0.03496852254795827
SEQ_032§0.050416728981422604§0.010707046481965543§0.04091030114768122§0.26328676443288673§0.0
SEQ_033§0.05670080360589064§0.0§0.13501481838980856§0.05469726667620967§0.0
SEQ_034§0.0§0.014661686436870753§0.1750960298113376§0.06667132409958611§0.06787286070934377
SEQ_035§0.0233764147855814§0.0§0.03128745074064376§0.2487153016360171§0.06802842814257208
SEQ_036§0.07160847378214684§0.0§0.04122956230749616§0.04311210326089995§0.09872944318674272
SEQ_037§0.1158458637080378§0.0§0.0022442304748955125§0.0§0.22295092351372536
SEQ_038§0.057805072844196996§0.006437724485609242§0.1478336282494182§0.043514034713168885§0.013326833276493606
SEQ_039§0.024532520954698232§0.0§0.05161714023724367§0.22064374273558401§0.005284794048037067
SEQ_040§0.09061050322022694§0.0§0.0§0.0§0.22225780074137483
SEQ_041§0.0§0.0§0.25029984621159956§0.09557839993802932§0.0592982491176527
SEQ_042§0.0§0.0§0.021748380929028945§0.36152173169566076§0.0
SEQ_043§0.19289550034444758§0.0§0.0015276391754761114§0.059074055892696445§0.06678447758401566
SEQ_044§0.13428278496278648§0.0§0.02730980082309479§0.11629381847833917§0.0
SEQ_045§0.034582386189165905§0.13826116430960492§0.05391778478154533§0.11251854298210215§0.0
SEQ_046§0.0873641521446344§0.03128521174743064§0.042491908566044706§0.01606883913517893§0.0
SEQ_047§0.1537832999065197§0.0§0.03949694244316062§0.0§0.04159426023840234
SEQ_048§0.0§0.0§0.202047918430481§0.03897286104573946§0.015759237055064726
SEQ_049§0.01107025124887188§0.0§0.11894658904984716§0.016900645007319054§0.09853403725805114
SEQ_050§0.02500157759436887§0.0§0.10300042855698092§0.020052928792763085§0.05124285117608885
SEQ_051§0.059674044418474834§0.0§0.06610669277955268§0.05100842675968148§0.0654936868831711
SEQ_052§0.10790780868772194§0.035458932920215826§0.0§0.06440034174628438§0.017900412968701995
SEQ_053§0.011226432850313103§0.10793988499864282§0.08515415719365077§0.02078937426561579§0.017795945356597762
SEQ_054§0.05385062758207856§0.00010935041415828726§0.0§0.19792964242353542§0.0651464043923494
SEQ_055§0.005764667536425802§0.0§0.08113774399352593§0.23980330305326822§0.0
SEQ_056§0.04936828967651048§0.00798721107771401§0.0§0.04254971870378679§0.0
SEQ_057§0.007666120269940157§0.004767155978239192§0.15306050565511406§0.004330946407797886§0.004237931146035906
SEQ_058§0.05328276564545392§0.002603652575480072§0.08472248438867672§0.05644772725290933§0.0
SEQ_059§0.08796868256935322§0.09102541984457184§0.0§0.12650369077210835§0.004429363341454147
SEQ_060§0.0033432133458432796§0.011547653898560313§0.16821733808761652§0.11177666131233764§0.0
SEQ_061§0.06990523767894528§0.0722376042087815§0.0§0.06959231608828369§0.046225573989683716
SEQ_062§0.26881635382113445§0.006767545320141681§0.0§0.0§0.029096706446701565
SEQ_063§0.006931662809596945§0.0§0.15936357031504084§0.2126303857489992§0.04871809885511653
SEQ_064§0.0026039732123288696§0.019266615103605833§0.02310121442369603§0.1631151581722856§0.029302201278024086
SEQ_065§0.0§0.23247587936097225§0.03693595274216832§0.0§0.0
SEQ_066§0.0§0.1574679204464766§0.0§0.0§0.08932130098184232
SEQ_067§0.0884258720561805§0.0§0.03914213178088092§0.19960900949744104§0.0
SEQ_068§0.0§0.44293463821472373§0.0561051171723322§0.045164888918646194§0.0
SEQ_069§0.0§0.0§0.0§0.02429374467936268§0.32682489068082105
SEQ_070§0.0§0.028890389220878217§0.0598001801311718§0.16882072317149918§0.0042371056147075
SEQ_071§0.10320816664289971§0.0§0.016227994729585055§0.1353706457393315§0.027350049394517552
SEQ_072§0.0048499333190735695§0.12460025994046417§0.09197042876860952§0.04155049506946631§0.027215613445820477
SEQ_073§0.030855453781467784§0.006898931888029649§0.07713699600212516§0.11784099499623857§0.07798495059739509
SEQ_074§0.006529984440054314§0.03214658171811934§0.2262876989955992§0.0§0.0
SEQ_075§0.05291479212582792§0.014509822474675818§0.021490685239280514§0.025226054383363512§0.057216805791887426
