Sequence§LDA_0§LDA_1§LDA_2§LDA_3§LDA_4
SEQ_001§0.026236647632320177§0.026177806216538552§0.8939205374960404§0.02621499662345042§0.027450012031650376
SEQ_002§0.03254980629320767§0.19288246625379213§0.03335489902686312§0.031816370885369184§0.7093964575407679
SEQ_003§0.03631133072686317§0.03591372757449725§0.036211020678200215§0.035973714816789126§0.8555902062036502
SEQ_004§0.032578444588452174§0.03254919538353214§0.03306209262411957§0.56738748421931§0.33442278318458624
SEQ_005§0.01945875331989947§0.01926690065876246§0.922250838876876§0.019235158738014027§0.01978834840644796
SEQ_006§0.03857949191314025§0.23470297837681106§0.03852632151375077§0.03750841215672902§0.6506827960395689
SEQ_007§0.035128123977299086§0.03514749603708203§0.03565091271460517§0.03507935227578887§0.8589941149952248
SEQ_008§0.025475755203913687§0.025409197493269225§0.8975644807885453§0.02546156904419723§0.026088997470074492
SEQ_009§0.040412067919986354§0.5336239116262753§0.04149110877715998§0.04027232457147408§0.34420058710510415
SEQ_010§0.0261338638162329§0.026289858465044533§0.026476532092264058§0.02606940534407111§0.8950303402823875
SEQ_011§0.02515641507338709§0.0251239447479684§0.025479385117944304§0.025062609955930078§0.89917764510477
SEQ_012§0.03160495032654028§0.03165188561268857§0.03255062308197714§0.13306114692173746§0.7711313940570566
SEQ_013§0.022699332688470915§0.021860391239465374§0.022208246232683124§0.021955494111135735§0.9112765357282449
SEQ_014§0.03130666309453718§0.03122157280199968§0.03211700363088841§0.4355527423971095§0.46980201807546523
SEQ_015§0.03232775417835729§0.03222503837621297§0.03263958442485928§0.03222287927297245§0.870584743747598
SEQ_016§0.02547227122057685§0.024828326287831298§0.027294842756059118§0.024901530719063744§0.897503029016469
SEQ_017§0.021191513755766122§0.021049283922330762§0.021504943434227312§0.020987318398399415§0.9152669404892765
SEQ_018§0.02465460936753267§0.02476490660725635§0.024991109857394528§0.02458739530077834§0.9010019788670381
SEQ_019§0.030235122310895996§0.029980337322236057§0.03022260989948509§0.02995676397871494§0.8796051664886678
SEQ_020§0.020628884536356286§0.0204853981905885§0.4942207032095908§0.020529388070872037§0.4441356259925925
SEQ_021§0.04208363170423097§0.04179557692058515§0.04303989763712644§0.8286691958830867§0.044411697854970546
SEQ_022§0.026056630606428387§0.026862091266085433§0.026528756924051263§0.028158669369304463§0.8923938518341304
SEQ_023§0.02596374036362424§0.025556675493175727§0.8960838465733331§0.025434952365455295§0.026960785204411628
SEQ_024§0.03056677783222255§0.030585760968344325§0.030743535730485043§0.030414866081706734§0.8776890593872414
SEQ_025§0.02045439885669158§0.020236304959545735§0.9182733969743011§0.020144144145140812§0.020891755064320727
SEQ_026§0.022577136639706653§0.022503691483760618§0.022764261020871916§0.02238071242403292§0.9097741984316279
SEQ_027§0.02776614716730286§0.027728979038282694§0.028104924454448413§0.42235478408261345§0.49404516525735265
SEQ_028§0.03265737565303513§0.03269119243724145§0.8677990059364328§0.03260969981960802§0.034242726153682644
SEQ_029§0.020639343763961294§0.020712926199064494§0.4507076139848846§0.02071264679545362§0.487227469256636
SEQ_030§0.033017944403584014§0.03299455641670823§0.03343131300169681§0.033048071906575216§0.8675081142714358
SEQ_031§0.02802450668976049§0.02791738642904214§0.028445409399787774§0.15140799579626046§0.7642047016851491
SEQ_032§0.029182635492809084§0.1993982879523354§0.029768031423552933§0.02943947690570515§0.7122115682255974
SEQ_033§0.15539683367998908§0.026609221972407598§0.026609911680559144§0.026387861260435373§0.7649961714066088
SEQ_034§0.03330978635686322§0.03303456327082144§0.8665136806525674§0.03298783924488764§0.034154130474860184
SEQ_035§0.026561898684784556§0.031743868130727215§0.8871381939715732§0.026279786016530127§0.028276253196384882
SEQ_036§0.030438891767344156§0.030599446645587468§0.877492942715954§0.03020366153131804§0.03126505733979627
SEQ_037§0.3344349899122981§0.032548718476535496§0.5667082991968345§0.032531604340873516§0.033776388073458306
SEQ_038§0.025814032732803045§0.025990509829379532§0.2786676521788869§0.026258652937100304§0.6432691523218304
SEQ_039§0.029035191587692088§0.02887153584279631§0.8834022335542093§0.028895269611471642§0.029795769403830535
SEQ_040§0.35404635902221365§0.030135029130811192§0.030870834953734418§0.03012396797612477§0.5548238089171159
SEQ_041§0.02482412037279675§0.024496741204323744§0.9010336532711403§0.02450344718189013§0.02514203796984907
SEQ_042§0.037662536910439984§0.0376698378510289§0.038217091953506616§0.03754135662331087§0.8489091766617136
SEQ_043§0.022742172338535795§0.022636649273362366§0.6462070943766135§0.022494512279743153§0.28591957173174515
SEQ_044§0.027384941175569274§0.2748893982761513§0.02813778098283244§0.027367260953817116§0.6422206186116299
SEQ_045§0.02429277311495128§0.02428304084193465§0.9019746064068285§0.024425239960138873§0.025024339676146645
SEQ_046§0.03976805767547371§0.03983147966611924§0.039995978235407036§0.039833064301498036§0.840571420121502
SEQ_047§0.026716343356670037§0.02645415100157806§0.5653630432575911§0.026719901884531938§0.3547465604996289
SEQ_048§0.034069912208472844§0.034230210227334135§0.50309384409905§0.3932594133736713§0.035346620091471666
SEQ_049§0.6668391848826574§0.0288948555730718§0.02939502464641992§0.028831226558990185§0.2460397083388608
SEQ_050§0.02994617400902466§0.029589558997491307§0.030103407714922453§0.029734301876606223§0.8806265574019554
SEQ_051§0.024269612429756632§0.2205670777553134§0.7059648061174814§0.024283557808843604§0.024914945888604795
SEQ_052§0.872692043673916§0.031101412494244092§0.03206536866064369§0.0312376429625318§0.032903532208664335
SEQ_053§0.5692345868801701§0.027592278838926666§0.0283121884367984§0.027618124672641905§0.3472428211714628
SEQ_054§0.5389904658136769§0.029760306230483445§0.03048677832188094§0.030694530842319708§0.3700679187916391
SEQ_055§0.3648469068981713§0.031429097295141116§0.03204876755398803§0.03170945898733962§0.5399657692653599
SEQ_056§0.039738468026166276§0.8379204552675534§0.04113548376788234§0.03939278751149972§0.041812805426898185
SEQ_057§0.035414707625232335§0.03521552620943519§0.035796287593172126§0.03538352659010721§0.8581899519820532
SEQ_058§0.026748815741922734§0.3998778211436904§0.027566730982145366§0.02660271130983859§0.5192039208224029
SEQ_059§0.027874654200740364§0.028154151948123634§0.8873152639403693§0.027845913621994227§0.028810016288772455
SEQ_060§0.028378887103531845§0.28104287221236696§0.02939445368351815§0.02832980459277231§0.6328539824078107
SEQ_061§0.026937307240587842§0.026905946404724948§0.027204252332159787§0.026876977041201452§0.8920755169813259
SEQ_062§0.02356464162820234§0.023448128610361947§0.02384700149693293§0.023457717629691264§0.9056825106348116
SEQ_063§0.028775401279546576§0.028775326814993906§0.5661360449259334§0.02883272929597303§0.34748049768355305
SEQ_064§0.6646376010041884§0.029154074177227436§0.029900242589989474§0.029156760832630937§0.24715132139596366
SEQ_065§0.031630960092434955§0.031807169012814884§0.031837779953363836§0.031599901590510994§0.8731241893508753
SEQ_066§0.037472006782792645§0.49974922702880975§0.037059790546314184§0.03701367940502234§0.3887052962370611
SEQ_067§0.02619772405959219§0.025939423049232066§0.8951290984689183§0.025927129839992766§0.026806624582264675
SEQ_068§0.02826909794465847§0.028303870210306392§0.2652017521062412§0.028128230038805754§0.6500970496999882
SEQ_069§0.6844684658491976§0.03052261391994099§0.030934916822942637§0.030362627442302562§0.22371137596561624
SEQ_070§0.026249122282553605§0.026259098603828666§0.8938551115025142§0.026350487975941164§0.027286179635162354
SEQ_071§0.02680410258265714§0.026905958884634134§0.027080359549804277§0.31720142758982117§0.6020081513930832
SEQ_072§0.02920594964541409§0.02904643184056736§0.8825601097268317§0.02919644444706259§0.029991064340124208
SEQ_073§0.025523063297958302§0.32498110858954565§0.025637035475577257§0.025802767642069867§0.5980560249948489
SEQ_074§0.029581007606906535§0.029561852468292942§0.0302002664196967§0.029592862696328152§0.8810640108087756
SEQ_075§0.03858770890469134§0.03748755164621607§0.03830858337690717§0.04348201008563107§0.8421341459865543
SEQ_076§0.030632209823209428§0.030502984487334073§0.8764291694880069§0.03067431139094804§0.0317613248105015
SEQ_077§0.02874410084585893§0.028591846832362818§0.029223973656597218§0.18331215476758508§0.730127923897596
SEQ_078§0.027082417131150848§0.027031005476577687§0.027907564552801984§0.027014323470325292§0.8909646893691442
SEQ_079§0.4547987681567558§0.026418252472354093§0.026728340165959315§0.026374620409099443§0.4656800187958314
SEQ_080§0.8392523817868769§0.039802146629801485§0.04023271783253731§0.03954004358161283§0.0411727101691716
SEQ_081§0.021451501360632248§0.02104750494925551§0.02144365279186355§0.021204583874983942§0.9148527570232649
SEQ_082§0.024117611191461948§0.024003397760400846§0.024277501714084836§0.023990081438347282§0.903611407895705
SEQ_083§0.02675929623078535§0.026799603747704608§0.8918797377918387§0.026885377143318366§0.0276759850863529
SEQ_084§0.029373634409035773§0.029306126594883002§0.8819544654069827§0.029437009248408978§0.029928764340689567
SEQ_085§0.03141826100915912§0.3792105414574765§0.031707743530892465§0.03193669089232452§0.5257267631101474
SEQ_086§0.025369724832758487§0.02528432437232832§0.02615490713798641§0.025241178413698127§0.8979498652432287
SEQ_087§0.04293168110728326§0.04278483601607361§0.04329281623305508§0.042706574866041035§0.828284091777547
SEQ_088§0.03257917560169§0.5339007747279509§0.033057632679045754§0.032371837278751425§0.3680905797125619
SEQ_089§0.03471697484022874§0.7096719923399141§0.03513365819209369§0.034473903713111625§0.1860034709146519
SEQ_090§0.024720162588735814§0.024175181495951336§0.024718311879530566§0.11680218630920422§0.809584157726578
SEQ_091§0.030862898379632565§0.03064577911733404§0.031058956448324588§0.030640682914125916§0.8767916831405829
SEQ_092§0.028064940191968382§0.02821487961541091§0.028705437611322642§0.02818511752261998§0.886829625058678
SEQ_093§0.028403665110771515§0.02819647705825444§0.02860164526926819§0.028132570995001747§0.8866656415667041
SEQ_094§0.04165897810430066§0.041593996890052616§0.8323797505247452§0.041679141066101086§0.042688133414800544
SEQ_095§0.246403705206904§0.029083146042525692§0.029270674214232534§0.02942993103450187§0.6658125435018358
SEQ_096§0.0241667060689323§0.3149729100955862§0.0247576214745918§0.024323620558947965§0.6117791418019418
SEQ_097§0.023575848697538405§0.023560534411094937§0.9052887636356235§0.02354040381721719§0.024034449438526093
SEQ_098§0.8494402178183116§0.037117873101269745§0.038087352386456844§0.03680978286910567§0.038544773824856285
SEQ_099§0.02806129315933658§0.0278852059912221§0.02806146261017138§0.027996601939119743§0.8879954363001502
SEQ_100§0.026129455593675032§0.025969381757684776§0.8948364768546829§0.025963652979667292§0.027101032814290018
SEQ_101§0.47363899264292053§0.02444331672952409§0.024887296672375152§0.024381367936815494§0.4526490260183647
SEQ_102§0.03160924429133476§0.031466269404638286§0.8733688277238479§0.03143167360235496§0.032123984977824135
