Sequence§Svd_0§Svd_1§Svd_2§Svd_3§Svd_4
SEQ_001§0.24846161760739274§0.24932944593157907§-0.1489884429766963§-0.08797208868850614§-0.07271263888607893
SEQ_002§0.2425834951704497§0.13687339564252474§-0.014586995810121139§-0.15219459479242117§-0.11268597370742893
SEQ_003§0.1801782931428753§-0.21655221848530964§-0.19524060252918993§-0.10138036096368175§-0.007501416225493611
SEQ_004§0.14175003635160496§-0.15293474532769388§-0.09836467656442156§-0.09796775904817048§-0.0734511847225349
SEQ_005§0.3718795977676452§-0.015391705801992018§-0.09873379139217622§0.1369907742341024§-0.21011203538145848
SEQ_006§0.15225862356151437§0.1090606627805871§-0.03709145947747333§-0.06760517941171484§-0.07282777176285933
SEQ_007§0.21646332339982718§0.07985972993877644§0.015235095478239603§-0.007871390488790094§-0.12395435518022173
SEQ_008§0.2812153269984737§0.17128547635242364§-0.08509780862390302§-0.09377641142420924§-0.06663055921357786
SEQ_009§0.2030880336632456§0.24470647033776913§-0.2126113463962968§-0.019710286475152397§0.03518917761083382
SEQ_010§0.26995956564231977§-0.029305344914885557§-0.12253914924261576§-0.1577733711209199§0.0018528068341306504
SEQ_011§0.4145108445809302§-0.03181875100804821§0.3619809409861628§-0.007126832291986921§0.08355180368136786
SEQ_012§0.22064345591639417§0.3176844677982679§-0.24213320598449967§-0.12877229401892393§0.011632292234476307
SEQ_013§0.45073506456257656§0.15297197064120807§-0.0544575866240492§0.041713937558253804§0.03226226615846353
SEQ_014§0.26389891335167137§0.021142031151014557§-0.08212298767910674§0.15408668444634524§-0.06681970328003728
SEQ_015§0.25957046722331495§0.06061503105896611§0.0059898565756484464§-0.09322079780944319§-0.019913672542371995
SEQ_016§0.29819287167035907§0.10862464951885817§0.030465903090797695§0.003105227626412406§-0.019176417710250367
SEQ_017§0.36093451088689255§0.13879738553262655§-0.05690356158879206§-0.03449118395168459§0.09556033086227264
SEQ_018§0.2910204388173172§-0.003159911931899328§0.0745447147076633§-0.19458589963871872§-0.017348877819941246
SEQ_019§0.19252958664506728§0.2335839303043845§-0.19863444252933185§-0.10599464453493176§-0.04932897460269128
SEQ_020§0.44662995844683084§-0.01742584504636786§0.030987515915897643§0.1551898290984475§-0.05692409145256936
SEQ_021§0.10836479688915304§0.09762709138250486§-0.1530618509530048§-0.0741672690855122§0.1000874658959023
SEQ_022§0.4106628041004758§0.15055312802379214§-0.15789180731283145§-0.023987262605224775§0.09462667907983335
SEQ_023§0.23706895280362603§-0.07992935716610315§-0.10775852360599214§0.028698046698597754§-0.07696837679687242
SEQ_024§0.25585068894598567§-0.004260261296671859§0.22549487771171087§-0.09292895010715203§0.013862122765338944
SEQ_025§0.3991278631681184§-0.006027650547312088§-0.021104226625203146§0.26668360760636767§-0.03848316220834582
SEQ_026§0.44566422444984405§0.21810710914389683§-0.027015997183040513§-0.049114206618149234§-0.03597154292302532
SEQ_027§0.2218801363624969§-0.16948342645921086§-0.011695821785374474§-0.10354165018329563§0.02634917148306494
SEQ_028§0.16504386943907864§-0.02006464056984805§0.01632746787046555§0.019041969699723712§-0.08280369712937835
SEQ_029§0.33189707640342087§0.11858391165939752§-0.15569855527671544§-0.10905565054791572§-0.01309740826803441
SEQ_030§0.22298837287870849§0.07979297732261985§-0.0851938816959217§-0.046615227960102174§0.0920294135678565
SEQ_031§0.32710267480205035§-0.05399246256569202§0.1541872647621022§0.019165014377816755§0.05588060317986723
SEQ_032§0.3739077078943164§0.011739526996206848§0.0638627129738028§0.040400438670586944§0.18015622112632013
SEQ_033§0.26288844016843477§0.11541602722460871§-0.006073389780499051§-0.08813827513368534§0.09253201615727628
SEQ_034§0.294367514145108§0.0762916217244712§-0.18218852603319083§0.06090708074563458§0.005653434816395162
SEQ_035§0.3653556812620148§0.016691072393797687§0.06186449090177451§0.25981692239996856§-0.016463376003793634
SEQ_036§0.2494071084566875§0.015034334614156413§0.03765743990776063§0.004434769175882937§-0.06963025587050804
SEQ_037§0.2792344880577946§-0.07382981843275216§0.05036950679400248§0.021075624951155537§-0.283565337230863
SEQ_038§0.28553131386725494§0.09664188853688566§-0.022320225367467382§-0.1013625836826515§-0.007319138157657098
SEQ_039§0.3156708514883703§-0.013122120231911817§0.03980665723099091§-0.02794482047581326§0.1957253759503166
SEQ_040§0.23773895962619318§-0.14227474350863453§0.10673194670101084§0.10135065209435301§-0.22985646106845403
SEQ_041§0.3910427755922659§0.15103256341142954§-0.22148342361475462§0.012046990725121574§0.08532767411220193
SEQ_042§0.37871351910466683§0.060402177501920555§0.09538794939369695§0.21209268629952285§0.18868905049759438
SEQ_043§0.33745096754366627§-0.02056278325625537§0.1826972971347507§-0.07820359051803137§-0.09237552383360302
SEQ_044§0.30590901104493046§0.05188455001577524§0.15070009150978955§-0.03985166937449726§0.04694443517496869
SEQ_045§0.27317873884206295§-0.05339941517166132§-0.06091203549998976§-0.0741289182750069§0.16875697232863865
SEQ_046§0.17142480548068204§0.042761410896887085§0.03706666330089436§-0.04187793415707011§0.008774076757639573
SEQ_047§0.23613257566285337§0.03157448904322389§0.10304589544735618§-0.09301611839308457§-0.13393425990653096
SEQ_048§0.2508402223332917§0.16827266815589031§-0.17120294320491608§0.019657714433451313§0.04890201749082376
SEQ_049§0.22941527179219967§0.06094158545723464§-0.06689748949126406§-0.016903435883025137§-0.11732906509387798
SEQ_050§0.19994935522680732§0.0678833326553814§-0.019038873691377148§-0.06361537602448833§-0.11555295398480428
SEQ_051§0.23822168463333113§0.039580244517824124§0.03241045799732226§0.09760140338256436§-0.1412274003070008
SEQ_052§0.21719729717351818§-0.0754487588267026§0.09171473622156023§-0.09167918500538687§0.010246917613138532
SEQ_053§0.18450826525197805§0.02233728244875086§-0.08372275213712423§-0.048728969334568634§-0.028064611073528766
SEQ_054§0.30712248684006543§-0.12634440014192028§0.09128125481211806§-0.03010714019918585§0.11486739735980142
SEQ_055§0.33832890909668584§0.03282812558174282§0.003923160183324492§0.017262985886346553§0.18907856925285224
SEQ_056§0.10512008640073031§-0.006530809038261354§0.05852582609724926§-0.027482844559194093§-0.01248601559305513
SEQ_057§0.18056598111555175§0.1133181985069252§-0.07439947109285572§-0.14605279414077843§-0.00314898333729582
SEQ_058§0.2082198914466229§0.10856735431811586§0.027736026801377833§-0.03869850351985488§0.027813858733830358
SEQ_059§0.274146885481262§-0.12024420044176122§0.0539412969251246§-0.11262396069032375§0.0630304801112034
SEQ_060§0.2995497628886444§0.1293342327785716§-0.0928760355942582§-0.03178533405020479§0.08902488156932023
SEQ_061§0.21592481509692935§-0.10583883596752157§0.03468088491381103§-0.04773969621903401§0.023081672629200762
SEQ_062§0.32272408242495404§-0.053483882908366746§0.25423831241567973§-0.14458602135746473§-0.06951444858770908
SEQ_063§0.436120038301248§0.10603741376753754§-0.049562896860603056§0.08897349089697959§0.003048421053227308
SEQ_064§0.2281592167482446§-0.034482545378334346§-0.006494060933273325§0.011997625642829267§0.0723280696317105
SEQ_065§0.10978698947729969§-0.09688879434151396§-0.1475293427937064§-0.16506375707463633§0.038542213952735764
SEQ_066§0.09346486508847525§-0.2333794100373156§-0.11249095959381185§-0.14355335641851913§-0.04411450137054284
SEQ_067§0.3525830337840189§0.02012157298391301§0.08803693934538671§-0.04433682056858623§0.16196335906644707
SEQ_068§0.26805508026787594§-0.20305064026839864§-0.2906917505832487§-0.12101988273838804§0.1091251226861527
SEQ_069§0.2484881134127341§-0.21730779230883931§-0.12642755441812487§0.08427294526538939§-0.13973310852943094
SEQ_070§0.24703211745433662§0.0040888974693873825§-0.04877901544815744§0.08946132135201999§0.04580322364482126
SEQ_071§0.2967223688655424§-0.01596762265851458§0.12070719586402501§0.053312240033135574§0.020029326316055758
SEQ_072§0.22133048995961535§-0.02970742795200894§-0.12149450028579648§-0.10825372791259807§0.04264372248757826
SEQ_073§0.3059901681564296§-0.003460131388746376§-0.0269495700947071§0.0018809338102720849§-0.01702360683223219
SEQ_074§0.24437793869653732§0.19229286266118767§-0.1469715495387448§-0.18221309409321892§-0.00127102577184249
SEQ_075§0.16112205819703923§-0.03841755175183937§0.014499549501871828§-0.06314141861437003§-0.029915643697717414
SEQ_076§0.308574120055598§-0.06663002669854319§0.05074814498168389§0.011068365259807365§0.03917596445605697
SEQ_077§0.24805751338230594§-0.19958730572071526§-0.09584990212579582§0.029026919871624205§-0.20368088312736798
SEQ_078§0.2800349453436766§-0.23158931903089724§-0.13634025703739472§-0.11226834606959434§0.16281748366080329
