Sequence§LDA_0§LDA_1
SEQ_001§0.7271067288776655§0.27289327112233447
SEQ_002§0.7959957456716259§0.2040042543283741
SEQ_003§0.8936701880943861§0.10632981190561383
SEQ_004§0.898522361780335§0.10147763821966509
SEQ_005§0.93082603380014§0.06917396619986009
SEQ_006§0.32810950659681654§0.6718904934031835
SEQ_007§0.6101674064116008§0.38983259358839917
SEQ_008§0.9219148061664214§0.07808519383357854
SEQ_009§0.3817115846512942§0.6182884153487058
SEQ_010§0.9207592741386719§0.07924072586132819
SEQ_011§0.9231558646302329§0.07684413536976707
SEQ_012§0.2762721948813334§0.7237278051186665
SEQ_013§0.9317996825138805§0.0682003174861195
SEQ_014§0.90592024403885§0.09407975596115005
SEQ_015§0.898955193716019§0.10104480628398105
SEQ_016§0.9234023232901946§0.07659767670980537
SEQ_017§0.935668632559169§0.06433136744083093
SEQ_018§0.9248021550245779§0.0751978449754222
SEQ_019§0.6437562940839126§0.35624370591608745
SEQ_020§0.9376092007472033§0.06239079925279671
SEQ_021§0.17696562495269286§0.823034375047307
SEQ_022§0.9227254728454126§0.07727452715458738
SEQ_023§0.9215983425395986§0.0784016574604014
SEQ_024§0.9114332566482146§0.0885667433517854
SEQ_025§0.9328775865041006§0.06712241349589944
SEQ_026§0.9274491451058328§0.07255085489416722
SEQ_027§0.7670969627766993§0.23290303722330072
SEQ_028§0.8403172381978087§0.15968276180219138
SEQ_029§0.934435039797722§0.06556496020227799
SEQ_030§0.902478461257984§0.097521538742016
SEQ_031§0.917040984752237§0.08295901524776289
SEQ_032§0.8198020766720332§0.1801979233279669
SEQ_033§0.8472795703069439§0.15272042969305608
SEQ_034§0.9046373557395581§0.09536264426044191
SEQ_035§0.9094857478021586§0.09051425219784129
SEQ_036§0.9011263807005901§0.0988736192994098
SEQ_037§0.9054657475385709§0.09453425246142907
SEQ_038§0.7725398376278366§0.22746016237216335
SEQ_039§0.9155826863263086§0.08441731367369136
SEQ_040§0.9102676376171382§0.08973236238286182
SEQ_041§0.9245430923734094§0.07545690762659062
SEQ_042§0.882102414573642§0.11789758542635799
SEQ_043§0.9211153261867127§0.07888467381328736
SEQ_044§0.8494422807265747§0.15055771927342532
SEQ_045§0.9271839246554052§0.07281607534459471
SEQ_046§0.6423648581006507§0.3576351418993493
SEQ_047§0.8145004185479064§0.18549958145209358
SEQ_048§0.7795913330671068§0.2204086669328932
SEQ_049§0.9131195555683103§0.08688044443168973
SEQ_050§0.7594675022148921§0.24053249778510788
SEQ_051§0.5970685631033658§0.4029314368966342
SEQ_052§0.9053499169518467§0.09465008304815321
SEQ_053§0.9136114945132141§0.08638850548678596
SEQ_054§0.9122095322683716§0.08779046773162835
SEQ_055§0.903183172222506§0.09681682777749397
SEQ_056§0.23952067376083958§0.7604793262391604
SEQ_057§0.6511593676518269§0.348840632348173
SEQ_058§0.5790851026736022§0.4209148973263978
SEQ_059§0.9079336726824093§0.09206632731759057
SEQ_060§0.9134817681075152§0.08651823189248467
SEQ_061§0.9125116911009122§0.0874883088990878
SEQ_062§0.9272426141899349§0.07275738581006506
SEQ_063§0.8999523113815951§0.10004768861840489
SEQ_064§0.9099400780786351§0.09005992192136487
SEQ_065§0.3543831085164516§0.6456168914835484
SEQ_066§0.8797257038817765§0.12027429611822346
SEQ_067§0.9214050810704012§0.0785949189295988
SEQ_068§0.9167142996567377§0.08328570034326234
SEQ_069§0.9070451312921107§0.09295486870788931
SEQ_070§0.9186937174374918§0.08130628256250817
SEQ_071§0.7267839225604544§0.2732160774395455
SEQ_072§0.9026185384304939§0.0973814615695061
SEQ_073§0.7260023662110279§0.2739976337889721
SEQ_074§0.8914295950998703§0.10857040490012972
SEQ_075§0.5241871929695601§0.47581280703044
SEQ_076§0.9090429316008869§0.09095706839911313
SEQ_077§0.9105924927157841§0.08940750728421593
SEQ_078§0.9202956463181571§0.07970435368184287
SEQ_079§0.9210749419671096§0.07892505803289046
SEQ_080§0.23198589736688874§0.7680141026331113
SEQ_081§0.930557896787555§0.06944210321244507
SEQ_082§0.8772386963290081§0.12276130367099207
SEQ_083§0.7269896163865505§0.2730103836134495
SEQ_084§0.6622231797312618§0.33777682026873823
SEQ_085§0.6308661098053673§0.36913389019463266
SEQ_086§0.9100370603553555§0.08996293964464461
SEQ_087§0.8786199345453681§0.12138006545463181
SEQ_088§0.8937118337802096§0.10628816621979041
SEQ_089§0.450061973299158§0.5499380267008419
SEQ_090§0.9254274501642517§0.07457254983574839
SEQ_091§0.9104848646449603§0.0895151353550397
SEQ_092§0.9102372250439013§0.08976277495609869
SEQ_093§0.9168772570753361§0.083122742924664
SEQ_094§0.8778612496155084§0.12213875038449157
SEQ_095§0.9055938716698126§0.09440612833018736
SEQ_096§0.925509546934686§0.07449045306531392
SEQ_097§0.9242670755836683§0.07573292441633163
SEQ_098§0.8894667269794043§0.11053327302059578
SEQ_099§0.9173971702055016§0.08260282979449839
SEQ_100§0.9223362503434035§0.07766374965659657
SEQ_101§0.919615345320541§0.08038465467945885
SEQ_102§0.9058155872197837§0.09418441278021622
SEQ_103§0.9204368748213962§0.0795631251786038
SEQ_104§0.91408049853278§0.08591950146722006
SEQ_105§0.9161286774179841§0.0838713225820159
SEQ_106§0.8983558934260567§0.1016441065739433
SEQ_107§0.9281208630003905§0.07187913699960935
SEQ_108§0.91898563330284§0.08101436669716006
SEQ_109§0.8984299838891869§0.10157001611081307
SEQ_110§0.6272367342328659§0.37276326576713414
SEQ_111§0.9052606759608863§0.09473932403911367
SEQ_112§0.9115497312733095§0.08845026872669043
SEQ_113§0.8914859350910125§0.10851406490898755
SEQ_114§0.9033032988933148§0.0966967011066851
SEQ_115§0.891147602890499§0.10885239710950102
SEQ_116§0.9336468024963067§0.06635319750369327
SEQ_117§0.8608404837209104§0.13915951627908976
SEQ_118§0.9149241055300218§0.08507589446997829
SEQ_119§0.892624730904943§0.107375269095057
SEQ_120§0.8863193377161493§0.11368066228385065
SEQ_121§0.8383498472567426§0.1616501527432575
SEQ_122§0.9327029555579974§0.06729704444200268
SEQ_123§0.9311557410417016§0.06884425895829849
SEQ_124§0.7323747688294684§0.2676252311705316
SEQ_125§0.8307111251554761§0.1692888748445239
SEQ_126§0.6594323089288953§0.34056769107110463
SEQ_127§0.8966191743262897§0.10338082567371028
SEQ_128§0.8853804936547756§0.11461950634522432
SEQ_129§0.535520059044061§0.46447994095593903
SEQ_130§0.8919162881746985§0.10808371182530156
SEQ_131§0.8941131956515616§0.10588680434843842
SEQ_132§0.8556653986198882§0.14433460138011178
SEQ_133§0.8439667115569509§0.15603328844304906
SEQ_134§0.938381016597852§0.06161898340214789
SEQ_135§0.7252021819803547§0.2747978180196452
SEQ_136§0.904681341074276§0.09531865892572394
SEQ_137§0.9225436041545002§0.07745639584549983
SEQ_138§0.9327262641862878§0.06727373581371227
SEQ_139§0.8849771157318672§0.11502288426813279
SEQ_140§0.8962173734831502§0.10378262651684973
SEQ_141§0.9131154022294645§0.08688459777053543
SEQ_142§0.9131581197067344§0.08684188029326562
SEQ_143§0.9162241471249437§0.08377585287505634
SEQ_144§0.8994076158307859§0.10059238416921402
SEQ_145§0.8983784176492046§0.10162158235079537
SEQ_146§0.9194400862284299§0.08055991377157021
SEQ_147§0.9021990310119312§0.09780096898806878
SEQ_148§0.9097971189668246§0.09020288103317542
SEQ_149§0.635434092854068§0.3645659071459319
SEQ_150§0.6667660156960141§0.33323398430398593
SEQ_151§0.9123224638430514§0.08767753615694868
SEQ_152§0.8785212617928047§0.12147873820719528
SEQ_153§0.8958352343803611§0.10416476561963887
SEQ_154§0.8969897504466712§0.10301024955332895
SEQ_155§0.9064731948329695§0.09352680516703053
SEQ_156§0.8957726755279§0.10422732447210015
SEQ_157§0.9238406836329377§0.0761593163670623
SEQ_158§0.8931167447817033§0.10688325521829663
SEQ_159§0.9145446432930503§0.08545535670694976
SEQ_160§0.8661323480260386§0.13386765197396142
SEQ_161§0.9195018906515514§0.0804981093484485
SEQ_162§0.8951178140570749§0.10488218594292503
SEQ_163§0.8862843521571738§0.11371564784282623
SEQ_164§0.8968100628924678§0.10318993710753209
SEQ_165§0.9066402754252777§0.09335972457472226
SEQ_166§0.9300906692783895§0.06990933072161061
SEQ_167§0.9101182250429126§0.0898817749570873
SEQ_168§0.9049260012133751§0.09507399878662488
SEQ_169§0.44647547399665716§0.5535245260033429
SEQ_170§0.914220299148808§0.08577970085119208
SEQ_171§0.8781085635331981§0.1218914364668019
SEQ_172§0.887495838353168§0.11250416164683198
SEQ_173§0.8300047233851682§0.16999527661483171
SEQ_174§0.8961388568235817§0.10386114317641817
SEQ_175§0.9112037732766045§0.08879622672339546
SEQ_176§0.9074540865452252§0.09254591345477486
SEQ_177§0.9073168510980492§0.09268314890195083
SEQ_178§0.3361010425294842§0.6638989574705157
SEQ_179§0.8715974784154475§0.12840252158455243
SEQ_180§0.8837999977882318§0.11620000221176824
SEQ_181§0.8987765847163367§0.10122341528366333
SEQ_182§0.9053283889100172§0.09467161108998272
SEQ_183§0.9014385864005872§0.09856141359941278
SEQ_184§0.9036514025988307§0.09634859740116924
SEQ_185§0.663149097116776§0.33685090288322395
SEQ_186§0.9139741291531956§0.08602587084680426
SEQ_187§0.9263927153777134§0.07360728462228654
SEQ_188§0.9206367236235085§0.0793632763764916
SEQ_189§0.5314102145407855§0.4685897854592146
SEQ_190§0.7338105490049782§0.26618945099502184
SEQ_191§0.18377464335169513§0.8162253566483049
SEQ_192§0.9168265024217751§0.08317349757822483
SEQ_193§0.9122263495488981§0.08777365045110178
SEQ_194§0.9148014595721212§0.08519854042787876
SEQ_195§0.9180866758777221§0.0819133241222778
SEQ_196§0.8845524072156465§0.11544759278435344
SEQ_197§0.8986884674614342§0.10131153253856585
SEQ_198§0.9205890366791946§0.07941096332080536
SEQ_199§0.8363476936732186§0.16365230632678146
SEQ_200§0.6375392828708365§0.3624607171291635
SEQ_201§0.9004554329791384§0.09954456702086159
SEQ_202§0.90714383493664§0.0928561650633601
SEQ_203§0.9136767416627649§0.08632325833723507
SEQ_204§0.9064734940204807§0.09352650597951924
SEQ_205§0.8078437740361684§0.1921562259638316
SEQ_206§0.8997825941288128§0.10021740587118726
SEQ_207§0.9145650782213424§0.08543492177865762
SEQ_208§0.9203760864748386§0.07962391352516134
SEQ_209§0.6712594296513221§0.3287405703486779
SEQ_210§0.9144701542564201§0.08552984574357993
SEQ_211§0.9145803343088929§0.0854196656911071
SEQ_212§0.9056983614038566§0.09430163859614339
SEQ_213§0.895614340900479§0.10438565909952102
SEQ_214§0.7494639240269266§0.25053607597307337
SEQ_215§0.6535237448263329§0.3464762551736671
SEQ_216§0.9000228762791597§0.09997712372084025
SEQ_217§0.9146263025157038§0.08537369748429628
SEQ_218§0.28223074389847286§0.7177692561015272
SEQ_219§0.9455549444171403§0.05444505558285969
SEQ_220§0.8820424670654111§0.11795753293458884
SEQ_221§0.9300895636652571§0.06991043633474298
SEQ_222§0.9436349703646683§0.05636502963533179
SEQ_223§0.6993076001320884§0.3006923998679116
SEQ_224§0.9287018966928203§0.07129810330717969
SEQ_225§0.9188590006689547§0.08114099933104542
SEQ_226§0.6950055738078093§0.30499442619219075
SEQ_227§0.8036509422599151§0.19634905774008485
SEQ_228§0.8265785133894932§0.17342148661050685
SEQ_229§0.8743565912369101§0.12564340876308977
SEQ_230§0.8976608259425818§0.1023391740574183
SEQ_231§0.9096029901488629§0.0903970098511371
SEQ_232§0.9042799110246799§0.0957200889753201
SEQ_233§0.5838136746687321§0.41618632533126787
SEQ_234§0.5477725208754262§0.45222747912457384
SEQ_235§0.9212927853714268§0.0787072146285732
SEQ_236§0.8818899288381122§0.11811007116188786
SEQ_237§0.8827233717369157§0.11727662826308437
SEQ_238§0.7889564443732241§0.21104355562677585
SEQ_239§0.9136960548101006§0.08630394518989937
SEQ_240§0.9177460034478647§0.08225399655213532
SEQ_241§0.9314942124045906§0.06850578759540933
SEQ_242§0.5547926333234102§0.4452073666765897
SEQ_243§0.8959510037427357§0.10404899625726433
SEQ_244§0.9089947209575846§0.09100527904241537
SEQ_245§0.8904710050590904§0.10952899494090965
SEQ_246§0.8825031875225481§0.11749681247745186
SEQ_247§0.8921264877507636§0.10787351224923647
SEQ_248§0.9205674961617613§0.07943250383823881
SEQ_249§0.9031522187329946§0.09684778126700555
SEQ_250§0.8922534945487225§0.1077465054512774
SEQ_251§0.8769641610545162§0.12303583894548374
SEQ_252§0.8757800683224065§0.12421993167759345
SEQ_253§0.7272810697326986§0.27271893026730154
SEQ_254§0.5448753550889566§0.4551246449110434
SEQ_255§0.9097636077721653§0.09023639222783478
SEQ_256§0.9072413114745851§0.09275868852541493
SEQ_257§0.8775544967028495§0.12244550329715057
SEQ_258§0.9184673794594952§0.08153262054050478
SEQ_259§0.8718869832910647§0.1281130167089352
SEQ_260§0.8154459756160859§0.1845540243839142
SEQ_261§0.9042473348776452§0.09575266512235488
SEQ_262§0.9063124525018168§0.09368754749818327
SEQ_263§0.17230629363992753§0.8276937063600723
SEQ_264§0.2843152855910458§0.7156847144089541
SEQ_265§0.9291594049155787§0.07084059508442135
SEQ_266§0.9241180964955645§0.0758819035044356
SEQ_267§0.8985950379021853§0.10140496209781469
SEQ_268§0.9147451980046022§0.08525480199539784
SEQ_269§0.8913516860356121§0.10864831396438787
SEQ_270§0.9199365462319843§0.08006345376801573
SEQ_271§0.8995381501587809§0.10046184984121911
SEQ_272§0.9304391915811187§0.0695608084188814
SEQ_273§0.8953017008947183§0.10469829910528168
SEQ_274§0.6368412581799227§0.3631587418200773
SEQ_275§0.9194340796916903§0.08056592030830968
SEQ_276§0.8942651555727056§0.10573484442729449
SEQ_277§0.7702110733471003§0.2297889266528998
SEQ_278§0.9215683697268433§0.07843163027315667
SEQ_279§0.9014248025191576§0.0985751974808424
SEQ_280§0.6654383382860984§0.33456166171390145
SEQ_281§0.5118689468514225§0.4881310531485774
SEQ_282§0.9210192195989397§0.07898078040106031
SEQ_283§0.9035271129109375§0.09647288708906254
SEQ_284§0.902077136827323§0.097922863172677
SEQ_285§0.8575022199969106§0.14249778000308938
SEQ_286§0.8724713273512249§0.1275286726487751
SEQ_287§0.7200280270139918§0.2799719729860081
SEQ_288§0.7893073122410111§0.21069268775898883
SEQ_289§0.9090633011236602§0.0909366988763398
SEQ_290§0.9328088011477307§0.06719119885226925
SEQ_291§0.549111647223235§0.4508883527767651
SEQ_292§0.8987030957895559§0.10129690421044406
SEQ_293§0.9331949542579636§0.06680504574203641
SEQ_294§0.8807044142309217§0.11929558576907817
SEQ_295§0.9101252294876012§0.0898747705123988
SEQ_296§0.24513305947597686§0.7548669405240231
SEQ_297§0.9267537353466009§0.07324626465339909
SEQ_298§0.8787558884123786§0.12124411158762134
SEQ_299§0.5411353502216621§0.4588646497783379
SEQ_300§0.8254404042273443§0.17455959577265578
SEQ_301§0.8882908835797982§0.11170911642020176
SEQ_302§0.47839594297706217§0.5216040570229378
SEQ_303§0.81135905296669§0.18864094703331005
SEQ_304§0.4447175256745252§0.5552824743254748
SEQ_305§0.9123852801216648§0.08761471987833523
SEQ_306§0.2553557692520465§0.7446442307479535
SEQ_307§0.8084163731106899§0.19158362688931008
SEQ_308§0.8963153104247386§0.10368468957526145
